Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	is_outlier	outlier_info
gene-AUO97_RS12550	31	21	7	7	4	2	host	gene-AUO97_RS12550	False	
gene-AUO97_RS06110	165	140	24	45	12	10	host	gene-AUO97_RS06110	False	
gene-AUO97_RS19450	177	165	114	162	51	41	host	gene-AUO97_RS19450	False	
gene-AUO97_RS17415	459	362	124	142	76	36	host	ilvA	False	
gene-AUO97_RS01405	545	419	199	202	81	70	host	gene-AUO97_RS01405	False	
gene-AUO97_RS10615	151	117	47	40	26	20	host	hisC	False	
gene-AUO97_RS15005	21	15	6	9	4	0	host	gene-AUO97_RS15005	False	
gene-AUO97_RS08350	1	0	1	0	0	0	host	gene-AUO97_RS08350	False	
gene-AUO97_RS15000	498	361	236	296	91	90	host	gene-AUO97_RS15000	False	
gene-AUO97_RS02610	910	672	281	298	142	99	host	serS	False	
gene-AUO97_RS09295	671	495	212	248	91	73	host	gene-AUO97_RS09295	False	
gene-AUO97_RS11985	10	13	2	3	2	3	host	gene-AUO97_RS11985	False	
gene-AUO97_RS04430	241	157	53	41	32	15	host	gene-AUO97_RS04430	False	
gene-AUO97_RS02850	146	121	61	92	35	27	host	thrH	False	
gene-AUO97_RS03245	586	434	161	181	109	59	host	gene-AUO97_RS03245	False	
gene-AUO97_RS02450	111	99	28	48	9	15	host	gene-AUO97_RS02450	False	
gene-AUO97_RS10910	0	0	0	3	2	0	host	gene-AUO97_RS10910	False	
gene-AUO97_RS18855	71	57	30	52	16	9	host	gene-AUO97_RS18855	False	
gene-AUO97_RS07270	232	161	64	81	36	47	host	guaD	False	
gene-AUO97_RS09575	148	117	39	52	37	25	host	gene-AUO97_RS09575	False	
gene-AUO97_RS19085	141	119	65	98	38	32	host	gloB	False	
gene-AUO97_RS00235	23	13	5	2	1	1	host	gene-AUO97_RS00235	False	
gene-AUO97_RS10540	356	214	54	53	43	26	host	gene-AUO97_RS10540	False	
gene-AUO97_RS18335	254	239	53	79	32	33	host	gene-AUO97_RS18335	False	
gene-AUO97_RS09080	34	30	10	9	6	4	host	pilB	False	
gene-AUO97_RS05255	187	161	65	93	38	23	host	aqpZ	False	
gene-AUO97_RS02060	37	34	10	8	3	5	host	gene-AUO97_RS02060	False	
gene-AUO97_RS14490	12	12	6	2	2	0	host	gene-AUO97_RS14490	False	
gene-AUO97_RS17060	66	62	10	16	13	18	host	gene-AUO97_RS17060	False	
