Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	gene_length	Entity	Symbol
gene-b1204	229.34228333730144	251.04353867581403	212.4788706101797	194.33817657508078	223.6735970327649	241.47655590259143	36.845077512397104	42.97461046506999	9.733690336248356	9.839695866746986	7.368825545665054	4.447186919187941	5.22687940115802	3.786627713270337	585.0	host	pth
gene-b4721	5.341458789848083	23.849136174202336	10.92652420068171	2.8297449546102715	13.131126993433632	4.5458688987686635	0.9326051551035094	0.26983671563268447	0.3065357906279763	0.6640160209079673	0.9354954306020088	0.2176710464963977	0.19845044455331268	0.0	144.0	host	ytiD
gene-b0011	15.851243851746053	14.556306024059806	16.999730329031806	20.545375132632557	21.980844513377978	16.869375678119678	1.316619042499072	1.8503089071955505	0.6182234432833136	0.6160283084726016	0.3773426946966086	0.21950021495435063	0.28016533348702966	0.2820444629823207	714.0	host	yaaW
gene-b1834	167.3251509749222	141.43072434009642	170.41537646933713	136.70439862727707	147.9181075351435	159.94831288824665	13.17968651995939	16.90566976483224	4.1727970040837965	5.728386046429736	5.127111631044267	3.082103018272456	4.187801636314097	2.293618981427984	2634.0	host	letB
gene-b4538	195.4473756477426	200.24414026141403	241.14432281552527	400.4445801314031	431.67200670850735	326.01902125757385	13.448323076954807	19.373822675341646	7.171391942086439	8.03515184964263	7.358182546583867	1.8438018056165453	3.121842287426902	1.8802964198821381	357.0	host	yoeF
gene-b1267	342.0303052845166	396.4304923785029	343.85749037342026	316.9314349163504	338.4405252916286	299.79017155010035	41.35901122632954	49.118103599224874	12.865618110994484	16.382911217300343	15.56447470045081	4.845546774180679	7.040676641543614	5.512811097712414	621.0	host	yciO
gene-b4461	569.8125228922455	568.7277258001169	579.8371284118006	561.6746908507548	576.0065273035699	592.4506957522506	36.10421075981139	38.282848159132186	13.581893492439567	16.671909940335425	13.110019880604376	9.668856554860968	12.434377504878892	7.406351725680273	1287.0	host	yfjD
gene-b1465	20.491839385093716	19.64111562503285	21.784284875871396	19.745885498249645	13.744298562290004	15.379856009930984	1.2325178261279857	1.4264495980582437	0.5833632667457522	0.5335529612934503	0.4450815264538191	0.2301367892472927	0.5874832543604674	0.5914236316281263	681.0	host	narV
gene-b4379	103.26820327039627	110.1453525940134	110.56601869737445	123.25111357858069	159.76204508677586	111.37378801983226	6.489377537595252	6.521053961123207	2.707732817213791	3.5192849108122264	3.118318102006696	1.777646879720581	2.8775314460230335	1.7869344795893793	864.0	host	yjjW
gene-b3786	409.6022479666453	472.6543866103257	530.4353423257807	440.38937924905525	588.1630314639726	576.584988471513	64.7133975000207	71.9411882272477	18.460447189436536	20.932884894660504	17.985333901865676	9.284218641013462	13.037720452775725	9.555596580509784	1131.0	host	wecB
